topic,label,tweet
caitlyn jenner,negative,Why does she hella look like a mix of Jennifer Lawrence and Caitlyn Jenner in the 2nd pic omg  https://t.co/SnNBpKKX8S
kerry,positive,Excellent piece from Sec. Kerry and and British FM Philip Hammond on the role of women in peace and security: http://t.co/8z8Y5CbwAL
ant-man,positive,"Ant-Man was brilliant. Inside Out was spectacular. What a great year for movies so far. Loved today, just sat in the cinema!"
chris evans,positive,"#guardiannews Top Gear returns to BBC on 8 May: Its presenter, Chris Evans, said that the show is already bein... https://t.co/dVoUJS1MlO"
star wars day,positive,Star Wars day is tomorrow!!! Super jealous of everyone who has already seen it/ is seeing it tonight BUT work decided this for me
jay-z,positive,May the Lord give you Jay-Z and Beyonce's kinda love... No way that relationship is fake or for social media
ed sheeran,positive,Happy Friday! Ed Sheeran just played on the radio and it made my day! Hope everyone has a great day!
justin bieber,positive,"Okay that's pretty cool of you, Justin Bieber. https://t.co/Rnjgi3LLlO"
ipod,positive,Gonna try to run 6 laps tomorrow atleast 5 it should be easy I just can't talk to ppl. Just gotta listen to my iPod and keep runnin
chelsea,negative,@889BrilaFM Chelsea poor form is attributed 2 Jose Mounrinh as he kept faith wid jst d 1st eleven widout putin confidence in his subs. #LHSC
red sox,positive,One and only time I am rooting for the Red Sox is tonight and tomorrow
star wars day,positive,Tomorrow I may be 100% geek and do a Star Wars day (skip 1 &amp;2 obvs)
windows 10,positive,@collin_hoover13 Great! Feel free to contact us with any questions you may have. Enjoy Windows 10!
hulk hogan,positive,"It's 4.33am, I can't sleep. Just bought two pairs of sun glasses online n caught up on Hulk Hogan news. Livin the dream..."
hannibal,positive,Jack Baumann scores again with 36 minutes left in the 2nd half to make it 2-1 Hannibal over Kirksville.
kim kardashian,positive,Star Wars was good outside of seeing so much of Rayjay's dick. I may have been watching Kim Kardashian's sex tape now that I think about it.
eid,positive,"DTN Pakistan: Eid frenzy finally over: Islamabad Though the official Eid holidays were over on last Wednesday,... http://t.co/t0f4s32qGN"
nirvana,negative,I think at this juncture I may like Queens of The Stone Age more than I like Nirvana. tending bar @124Rabbit tonight if you'd like to discus
kpop,positive,"the ""somebody talk"" in rising sun literally brought Kpop from the brink of death"
hannibal,positive,I'm just sat here crying over the last episode of Hannibal #bye
national hot dog day,positive,Tomorrow is one of our favorite days of the year: National Hot Dog Day! Stop in for our yearly $1.50 hot dog to... http://t.co/aFkkGM0FfG
sony,positive,"What if tomorrow Apple is just like, ""the Apple TV is now a game console and we're going to take on Sony and Microsoft (and Nintendo)"" lol."
justin bieber,positive,but on the bright side IM GOING TO JUSTIN BIEBER IN MARCH
caitlyn jenner,negative,Caitlyn Jenner Sued for Manslaughter: Caitlyn Jenner was the cause of a 4 vehicle car crash on February 7th. R... http://t.co/ENjIs4fNxw
iphone,positive,"Also, the iPhone 6S, 6S Plus and the new iPad will be coming out tomorrow morning! Will be checking out the highlights."
shawn,positive,I wish I could see Shawn on the 8th
justin,positive,I really hope my mom takes me Thursday I could maybe reunite with Justin ahhhh
nirvana,negative,Me and @raymond_rhea just sat here for fucking 10 mins trying to find out what nirvana meant in 'how deep is your love' #saddos
george harrison,positive,"The great artist George Harrison (1943-November 29, 2001). Never played showy but always in service of the song. https://t.co/dRZaXZ6zpE"
venice beach,positive,"@EstherKuKu Venice Beach calling you,so is Seattle.first is new home,2nd is gr8 tour stop"
ihop,positive,Trynna go to IHOP but all my friends are asleep so I may just go by myself #WHENINDOUBTPANCAKEITOUT
nokia,positive,@verge I droped my Nokia 5800 from the 5th floor &amp; it didnt even hav a scratch (not exageratin). I wish new phones had that kinda durability
u2,positive,We'll see you this Saturday for Hollywood U2! U2 cover band playing at Sagebrush with NO COVER! Get here early!... http://t.co/cLlBI2VZx2
ibm,positive,"@micelson Hi Mickey, IBM has a great opportunity for you!  I sent u a LI inmail.  Time for a brief call today or Friday to discuss?  Thanks!"
serena,positive,Serena be lettin oponents comeback in the 2nd set just to make the media feel better. That good #SerenaVsVenus
foo fighters,positive,This time tomorrow I'll be waiting for the Foo Fighters to grace the stage with @StephanieJ2104 #foofighters #RoyalBlood
amazon,positive,"Amazon to Release a $50 Tablet   Amazon plans to release a $50 tablet with a 6-inch  September 8, 2015 http://t.co/pMn4qxYB1d Cool Tech!!!"
star wars day,positive,STUPID WORK CHRISTMAS PARTY BEING ON STAR WARS DAY! Going to have to see it Friday morning.
colts,positive,@JuliaMoffitt13 @ChuckWTHR @Colts Love blue Friday! Love that dress!Love the weather forecast! Go Colts!
eid,positive,"@MarcherLord1 No, but you missed the Eid event in Trafalgar Square on Saturday."
ed sheeran,positive,I tell my new manager that I can't work on Thursday the 10th bc hello Ed Sheeran and he said that was fine but I'm scheduled anyway :-) :-)
apple watch,positive,"So, I may have just ordered myself an Apple Watch.  Hope I like it"
obama,negative,"Obama to Cameron: Who taught you to draw up a kill list?    Cameron: YOU, ALRIGHT? I LEARNED IT FROM WATCHING YOU http://t.co/tclBrRCo7n"
eid,positive,Check out the post How celebs celebrated Eid on Saturday! on http://t.co/zsQZeBBTsL  http://t.co/NLPumVfL01 via @itimestweets
white sox,negative,It's September 1st and this is what the White Sox are. It's sad to think about.
carly fiorina,positive,Saturday Movie Matinee: Carly Fiorina Won the Debate Going Away http://t.co/Ay2tTdJTP1 via @NiceDeb
john cena,positive,@NumericalNicola JOHN STEWART VS JOHN CENA tomorrow night on raw! I demand it!
john cena,negative,@JimmyTehFreak @WWETimekeeper and i didn't like the way the john cena and seth march ended too that pissed me off so bad
kerry,positive,@ValhallaD6w the sun is out in Limerick and most definitely shining in Kerry. We almost in Ballybunion. Actual blue sky
metlife,positive,"Oney Thursday and Friday, MetLife for Giants-Jets Saturday. Shaping up to be one hell of a 21st birthday weekend with @zdoginthehouse"
snoop dogg,positive,I predict I'll feel like I partied with Psy &amp; Snoop Dogg tomorrow because of @Fleetwood_Smack: https://t.co/Lo7ZQc3rBu
netflix,positive,"I'm not doing nothing tomorrow, just gonna sit at home and watch Grey's Anatomy on Netflix."
paper towns,positive,I've always been slow at reading books. Currently trying to power through the rest of Paper Towns as I'm seeing the film tomorrow
google,negative,@MrMandolino XD my brain may be a little wounded from translating google translate. or a lack of nourishment... one or the other 8D
niall,positive,I may have only made 5 second eye contact with Niall but I feel like he understands me now
amazon,positive,"@TravellousWorld Nice to meet you on Twitter! Anything Amazon travel related you may need, we're here :) !"
ira,negative,"Imagine if in the 70s, to fight the IRA, MI5 had demanded to know every shop visited, book read, inquiry made ++ https://t.co/4CG8VhU45C"
eid,positive,@angel_928 magic girl don't stress yourself and you don't need to say sorry health come 1st take care and I hope you had great time on Eid
kane,positive,Can't wait till 6pm tomorrow to come and the only recognised striker have is Kane for rest of season #TransferWindow #pullyourfingeroutlevy
madonna,positive,"Madonna put in two during the first half of play. #HUWS came out stronger 2nd half, but ends game scoreless. 2-0 Final Score"
ric flair,positive,"Roddy Pipers funeral was held Tuesday. Some of the most notable names that attended included Ric Flair, Triple H,... http://t.co/NKY3abaMIW"
amazon,negative,@Monomirror JELLY. Mine won't be here until Friday because Amazon are tight with shipping dates :(.
boko haram,negative,"Boko Haram suffered heavy losses on Sunday as Nigerian troops took down 20 insurgents Faljari, along the... http://t.co/2sLyUiTHLS"
kris bryant,positive,"If Kris Bryant can hit 3 more HRs by the end of the season, he will be the 2nd best rookie in Cubs history behind Kerry Wood if not the best"
josh hamilton,positive,Jackie Bradley Jr. becomes the 8th player since 1914 to have 5 extra-base hits in a game. First since Josh Hamilton on 5/8/2012.
carly fiorina,positive,@BretBaier Not for nothing Bret..but Carly Fiorina gets absolutely no press. I mean she is actually 3rd in Iowa!!!
christians,negative,Christians may act like the world because they are ignorant of who they are!   http://t.co/3uQEXvUtHC http://t.co/wMbqCfagSj
ira,negative,@Frandumode IRA parade walked past my flat last Sunday with hunger striker &amp; internment banners. Clear enough? @Independent
eid,positive,Celebrate 3rd Day of  Eid Transmission With Dj Tariq &amp; Dj Adeel 10:00 Pm To 12:00 Mn Enjoy with FM 101 HApPy EiD... http://t.co/ZoryXFhEDZ
sony,positive,"@tauriqmoosa Nope. Tomorrow.  Wait... tomorrow's also when Sony breaks out the next bundle of PS+ freebies.  Oh, what a LOVELY day!"
david price,positive,David Price still out in the 8th ? Gonna love this guy. #Bluejays #ComeTogether
saudi arabia,positive,@TIME may Allah bless Saudi Arabia and all Muslims in the whole word. And yes we will stop terrorism
caitlyn jenner,negative,So Caitlyn Jenner may face man slaughter charges. He thought that the sex change would be easier for when she goes to prison
ice cube,positive,"Wow! I just won this for free, FRIDAY starring ICE CUBE, CHRIS TUCKER, etc flixster vudu HDX u http://t.co/NHYTOtkR3E #listia"
federer,positive,Has Federer shocked Murray and Djokovic with his turbo-charged aggression? Will they respond? New podcast tomorrow http://t.co/oy9eqomY3L
google+,positive,Rumors getting strong Google+ may be going  away. If true I would certainly be sad.
ed sheeran,positive,"Feel bad for the person who's next to me at the Ed Sheeran concert tomorrow, because I'm singing as loud as I possibly can lol"
t-mobile,negative,@adamploski @sprint my texts arent working again...for the 2nd day in a row... c'mon #Sprint ! U got me feeling like a T-Mobile customer :-\
nicki,negative,"A no no, Kanye announces he's running for president, and nicki gets crazy with Miley all in the the same night.. It's Sunday wtf"
u2,positive,"This morning as I sat on the subway on my way to work, listening to U2's Calirfornia I tuned into and sent love... http://t.co/CBrI3GtAgQ"
messi,positive,@SivanJohn LOL the finishing was quite similar to Messi's 2nd goal against Bayern.
kendrick,positive,Super-happy for Kendrick today but the reality is he'll lose 90% of those nominations in February and then it's back to hating the Grammys.
paper towns,positive,A3: This was probably a LONG time ago. Insurgent maybe? And meh. I am going to see Paper Towns on Sunday though!  #rqwn
nirvana,positive,"I am not allowed to listen to Nirvana around Alexander because he may not like my music. He is 2 weeks old, he doesn't care??"
sharknado,negative,How did Sharknado get a 3rd film? How did Sharknado even get a film to begin with? Life doesn't make much sense.
the vamps,positive,"@TheVampsTristan What you think of Uruguay? i'll go to The Vamps show in May, im so excited.I love you bae. #AskTheVamps"
ice cube,positive,"@1Xtra Eminem, Snoop Dogg, Biggie, Tyler the Creator, Dr Dre. If I could have a 6th I would add Ice Cube"
christmas,positive,"Hamp is calling for a Christmas Market after the success of the Rhode Lane Opening! Interested folks, join us 22nd at 5.30pm, sunnyside Up!"
jimmy fallon,positive,I may like jimmy Fallon better than anyone I know too. I still hate all of you.
federer,positive,"In French Open QF, Federer didn't break serve -- 1st time in Slam match in 13 years. Tonight he breaks for 1st time in his last return game."
real madrid,negative,So Real Madrid did f*cked it up! #mufc https://t.co/XbcRDdwfdc
rousey,positive,This died between Rousey and Mayweather; c'mon -- y'all athletes at the best in your sport. Rousey would win though. Can you say #WomenUnite
ipad,positive,@MarkVonVegas It's the best. I can't wait to christen my new patio on September 26 with some coffee and RedZone on ipad.
ant-man,positive,Summer is BUSY! Saw Ant-Man with super heroes LilF and @TheAndyRok. Tomorrow Minecraft with @Parker_GamesMC and @JoinSuperLeague
amazon prime day,negative,"After witnessing it, I now realize I've seen Amazon Prime day every Saturday for years....we call them ""garage sales"""
justin bieber,positive,Youngest into 5th hour of Justin Bieber on her new karaoke machine so now's the perfect time to get me to confess to pretty much any crime.
islam,positive,@amessageofpeace dear misguided Muslim brother Ahmadiyyat is True n beauty of Islam... May Allah Guide u to the right path @RMinhas9002
kendrick,positive,kendrick was everything i wanted it to be a new danisnotonfire video on monday!
labor day,positive,Labor Day is a glorious holiday because children go back to school the next day. It may as well have been call... http://t.co/pWeXbaG9So
iphone,positive,"@TechJohnson I can't wait. I need a new phone! And since #Samsung has abandoned the UK market, I'll be ordering an iPhone this Friday"
lexus,positive,Take the 1st step to purchase your dream Lexus. Contact our F&amp;I Department to find out how you can apply for finance http://t.co/WxeHwOhEdy
curtis,positive,DONT FORGET BJJ tomorrow night with Curtis - last round of promotions coming so train hard :) https://t.co/hfgTkHOlsl
curtis,positive,The results from the gingerbread house are....  1st: Curtis 2nd:Rothemere  3rd: Squires Come see us to claim prizes! https://t.co/gxdHEfYtYx
tory,positive,"@KateVasey ask if she'll be going to the debate Thurs on immigration detention (Tory called it, Richard Fuller, the issue is causing splits)"
bobby jindal,negative,@ThePeoplesBacon @maddow @msnbc Maddow was right. #FoxNews did a hit job on the 2nd tier candidates. Not that I care about Bobby Jindal.
david wright,positive,David Wright sits out most of the year. Hits a home run 428 feet in 1st AB. UNREAL
gay,positive,"We're off to bed - tomorrow, hopefully, gay academics will take over the world! ;-) Night! #snoozetime"
rodgers,positive,We held our own with Rodgers and he's a better QB than Cutler. Our D just needs to get tackling 101 &amp; coverages down by Sunday #PhinsUp
fleetwood mac,positive,it may look like im going to hard to trap music while driving right now but i assure you i'm listening to fleetwood mac
paper towns,positive,"But I'll just read ""Paper Towns"" while I wait because I'm seeing it tomorrow."
murray,negative,Murray been broken in the 3rd. Unreal. Straight sets loss would make my day
eid,positive,"#AamirKhan celebrates Eid with brother #Faisalkhan and family  On July 18, Aamir Khan took time off to celebrate... http://t.co/ll5q3omcNJ"
islam,positive,@NazranaYusufzai madam sorry to say it is compulsion in Islam please read Holy Quran for guidance May Allah show the right path ameen
erdogan,negative,"To Erdogan, the prospect of an independent Kurdish state is more frightening than rampaging Islamists. #pkk #ISIS http://t.co/hP1y5n1F33"
yakub,negative,"@UnSubtleDesi @digvijaya_28  If Congree rule at this time, Yakub may be on street with the help of 40 Ami Chando."
ac/dc,positive,"Requests for Oasis, Steve Miller Band, AC/DC, Big Country &amp; The Banter Thiefs all make the cut for tomorrow's #MFCLive Playlist."
amy schumer,positive,I get to see Amy Schumer live tomorrow. I'm literally the luckiest girl on planet earth
kane,positive,"Missed the game, but awesome that Kane scored. Should help a ton for Sunday.  #Confidence"
seth rollins,positive,WWE Fans glad thank you @StephMcMahon @WWEUniverse  Sting vs. Seth Rollins John Cena vs. Seth Rollins  Good Luck Sunday Sept 20!
chris evans,positive,If you didn't know!!!! CHRIS EVANS AND ROBERT DOWNIE JR. MAY RELEASE THE CIVIL WAR TRAILER TONIGHT ON THE JIMMY KIMMEL SHOW!!!!! OMG OMG!!
hulk hogan,negative,"Hulk Hogan may have made those racist comments, but when he was in wrestlemania, that was my shit!  WHAT YOU GONNA DO BROTHER!?!?"""
planned parenthood,negative,Saturday's rally to defund Planned Parenthood drew hundreds in #COS. 8/28 still a day of prayer and fasting! http://t.co/dnrNOh9Uvw
jay-z,positive,"Roadblock: In the immortal words of Jay-Z: ""Whatever deity may guide my life, dear lord don't let me die tonight.... http://t.co/mnDysX2NKb"
niall,positive,"@NiallOfficial Hi, Niall!  Tomorrow is @TheLightinItaly's 15th &amp; she absolutely loves u. If you could pls tweet her, it would make her day!"
curtis,positive,"Tonight, Curtis is going to Comrade Bill De Blasio's 2nd Town Hall meeting. He was told he'd have to RSVP (Reject... https://t.co/wYlp844BNU"
paper towns,positive,Can't wait for Paper Towns and Nandos on Thursday with the lasses :) should shine some light over our results :)))
ipad,positive,"New iPhones, iPad Pro, and Apple TV on the way today at 10 A.M. (PDT)! #AppleEvent http://t.co/WLFT7hrxH8"
chris brown,positive,Chris Brown is me when me and my girl on good terms and that dude in blue in the back is when we're not  https://t.co/fUiT0D2T4P
nike,negative,Start my new job Saturday thank god that come in fast cause Nike was way too unorganized for me I wasn't fucking with it.
david cameron,positive,David Cameron is expected to announce the UK will take in more Syrian refugees: http://t.co/yGQuNfZ3VL #HeartNews http://t.co/8nZ65tqZ6F
ed sheeran,positive,http://t.co/eqgN9Hp6hb Ed Sheeran could top first Friday chart with x ahead of sold-out ... http://t.co/bt3aiyT1oU #PharrellWilliams
frank ocean,positive,im just excited to cry to some frank ocean on the way to school tomorrow w @michaelpence97
green bay,positive,So excited for the ball in Dec!!! Got Patrick's tux all picked out now just need to find a dress. Green Bay here we come!
nirvana,positive,"when people insult Nirvana it's sooooo hard to maintain my anger, yeah they may not be your thing but there's no need to critise their music"
iron maiden,positive,"@Mr_Rondeau You should try Iron Maiden at about 3:30 on a Friday. That way, when the bell rings, you can #runforthehills"
ted 2,positive,We had a blast recording the @FailedCritics episode tonight. Should be out tomorrow! Can you guess which one of us enjoyed Ted 2?
kendrick lamar,positive,I gotta meet Kendrick Lamar and J Cole February  .. That plane ticket worth it and them 125$ is too
kendrick lamar,positive,why did I just spend the last 30 min rapping my fav Kendrick Lamar songs when I have a 5 page paper due tomorrow??
@microsoft,positive,@festivaluprise @Microsoft Good luck to all Pitch Battlers. May the best pitch win!
nirvana,positive,https://t.co/Y4fCBwJEtf MTV just played a music video. Heart Shaped Box by Nirvana. On a Saturday morning. That just happened!
kim kardashian,positive,I really just found out that Kim Kardashian and Kanye had their 2nd baby like 10 days ago. Where the hell have I been? LMAO
murray,positive,Staying up 2 watch the Anderson v Murray match was so worth it. Only missed some of the 4th set when my eyes couldn't anymore!
sam smith,positive,I don't understand why they scheduled  the Sam Smith concert on the 30th omg that's so long from now :-/
ps4,positive,@gamingchill19 rumors say that may be possible. Also the home console specs are similar to PS4 &amp; XBONE. Handheld specs are gr8r than PS Vita
iron maiden,positive,@TeamRockBelong Is it true that IRON MAIDEN is touring in Guatemala on March 5 2016 ????????
kendrick,positive,"Top 5 MC's right now gotta be Kendrick, Cole, Rocky, Big Sean, and an unfilled 5th spot. Knights on the Mic."
ted 2,positive,"broke a bill at work and got to see Ted 2 with some cool people, pretty good tuesday"
briana,negative,@carlalyttle @UnitedByLarry That's Ashley in the 1st pic not Briana but the pregnancy is still fake af
joe biden,positive,"With Joe Biden, campaign 2016 fun about to begin http://t.co/t2FEgC9OWj via @WashTimes #Election2016"
dunkin,positive,Saw a sign at my local Dunkin about pumpkin coffee being available tomorrow. With this 90 degree weather I don't think I'm ready for that.
jessica,positive,"Omg, it probablY means not going into hiding, but hopefully HOPEFULLY OT9 made up and Jessica is getting a 2nd chance"
fleetwood mac,positive,@TheBlueTook Here's the link - I am the 4th poem down (it's only short!!) https://t.co/SnmewUZNkK Called 'Songbird' - about Fleetwood Mac
seinfeld,positive,"About to see Ant Man... I don't expect it to be as good as A Bug's Life, Antz, or Seinfeld's ""the Bee Movie""... But I may BEE surprised"
big brother,negative,"Bake Off, Strictly, Big Brother, X Factor. It's the TV equivalent of reading The Sun. What's wrong with us? Are we ashamed of intelligence?"
chris brown,positive,If I'm not at the Chris brown concert next Tuesday I'm gonna be really really upset and I'm gonna blame George lol
ryan braun,positive,Chapman throws his 104 mph knuckleball striking out the AL to end the 8th but Ryan Braun comes back with a triple for the NL and scores
messi,positive,"Messi and Mascherano could start the Argentina game against Mexico on Tuesday in Dallas, Texas [sport]"
chris evans,negative,Chris Evans admits defeat as he can't juggle both Top Gear and TFI Friday https://t.co/WM1A9RuXIn https://t.co/0syl1kazgr
milan,positive,"Actually may fit-1.Leonardo paints1493 Milan""Old Caterina""2Overpaints it1503""Lisa"" 3Overpaints with""Young Caterina"" https://t.co/dnTQR42prk"
wwa,positive,@Louis_Tomlinson went to see WWA film on Saturday mate....... they didnt have it up outside but I took a pic anyway http://t.co/s59yLgKl36
madonna,positive,"Weird Madonna concert dreams this morning. Speaking of, I have extra tickets. Let me know if you're interested. September 16, MSG."
ice cube,positive,Straight outta Compton was so live the fact that they had Ice Cube actually rehearsing his lines for Friday ..
national ice cream day,positive,Apparently it's National Ice Cream Day on Sunday. You better believe that's all I'm going to eat all day long.
dustin johnson,positive,Tomorrow I'm doing the coolest thing of my life. I'm going to be in a Taylormade commercial as Dustin Johnson's playing partner!!!
foo fighters,positive,"2x Foo Fighters tickets for this Sat @NationalBowl MK - selling for face value, shout up if you're interested or know someone who will be!"
ted 2,positive,I saw Ted 2 on Tuesday man it was so funny
galaxy note,positive,"So @johnlegere says the Galaxy Note 5 and S6 edge+ T-Mobile release is tomorrow, instead! http://t.co/iErTSdknw0 http://t.co/zXKZ98qXog"
jason aldean,positive,So excited for Thursday I just got @Ginger_love16 tickets to the Jason Aldean concert for her bdayyyy!
jason aldean,positive,Can't wait for tomorrow after work. Jason Aldean concert. Off Friday with Bills game. Off Saturday Sunday. First Draft Sunday. Off Monday.
gay,positive,You better! And we going to gay pride.  https://t.co/LmWlt4yva5
chelsea,positive,"@danielguest1 good man! Need your support on Saturday, those are the ones that will matter. Not a glamour tie with Chelsea!"
apple,positive,Good morning! 2nd day of my two day work week and then more travel tomorrow! And it's Apple event day! Yay!
nirvana,positive,i'm listening to nirvana and drinking wine from a mug how's your wednesday night going
moto g,positive,@RajivMakhni #motog The ever evolving Moto G 3rd gen firmly stands out as a beauty with the brain for gennext. Let's swim with it awhile.
apple,positive,"Retweeted not Jony Ive (@JonyIveParody):  If you want to know what @Samsung will do tomorrow, tune in to Apple... http://t.co/qP3QP9ReN5"
foo fighters,positive,I had an amazing day at The Milton Keynes Bowl seeing the Foo Fighters and Iggy Pop and Royal Blood for the 1st... http://t.co/oAkCTZJ7Ml
national hot dog day,positive,"Sonic Drive-In - National Hot Dog Day - Today, July 23rd - All-American or Chili Cheese Hot Dog for $1 all day https://t.co/1rAfsV2I1U"
briana,positive,I have one on Saturday with this really cute girl named Briana and I'm v nervous cause I still have a massive zit lmfao
sony,positive,"Sony has their 1st #1 film of the summer, as WAR ROOM fought off COMPTON $9.3M to $8.8M."
calibraska,positive,Calibraska comes out tomorrow...I'm gonna cry and turn up at the same time.
conor mcgregor,positive,Ronda is bringing a lot of new eyes to the UFC and I love it:) Conor McGregor vs Jose Aldo and Ronda Rousey vs Tate Dallas stadium in Dec.:)
harper,negative,"But hey, if you're mad at Harper, go to the game tomorrow and tell him how you feel for all 9 innings"
@microsoft,negative,@Microsoft 2nd computer with same error!!! #Windows10fail Guess we will shelve this until SP1! http://t.co/QCcHlKuy8Q
justin,positive,PLEASE make sure safety is 1st that day. Justin WILL have a huge turn out so please dont let him get mobbed/injured. https://t.co/BF3ZZ4IBAz
tony blair,positive,"Tony Blair's Labour may have seemed 'moderate' and but according to his former speechwriter, it was 'more revolutionary than anything"
john kasich,negative,"John Kasich thinks the Roots are ""offensive"" http://t.co/TTOZGoLMvM"
paper towns,positive,"Went and saw Paper Towns, got Baskin Robins, sat in the car and talked about life for 4 hours, got home at 3 AM. I'm gonna miss Shannon."
randy orton,positive,"Sheamus vs Randy Orton is pretty much a Sunday Night Heat feud at this point. I mean, without the Heat obviously. #WWEBattleground"
seinfeld,positive,Someone come and see Seinfeld with me in November!!!!!!
paper towns,positive,Paper Towns is one of my favorite books and tomorrow I'm going to the movie with one of my favorite people.  @SarayRojas7
national hot dog day,positive,Tomorrow is National Hot Dog Day! Get out on the town and treat yourself to a few of Houston's best dogs--http://t.co/3MYwZvtMW5 #HotDogDay
lexus,negative,Photo: Someone fired a few shots in the 1400 block of Pollock Street on Wednesday night. Lexus took a... http://t.co/zKNzFVRVmF
ipad,positive,"I wanna go find the iPad so I can watch videos and train muh pokeymanz, rip iPod D:  tomorrow marks two weeks"
paul dunne,negative,Must be the worse golfer of all time Irish Amature Paul Dunne teed off 6.43am Thursday scheduled to finish around 7.15pm on Monday!!!
dana white,negative,"Dana White is a terrible promoter sometimes. Instead of praising Holm her for her performance, he says Rousey had a bad night? C'mon man."
eric church,positive,Eric Church was absolutely amazing last Saturday...he never disappoints http://t.co/unLI6ZvoHT
ventura,positive,Followed by Friday up to Redcar to watch Sumer Stroll who if it stays dry will have a belting chance to notch another win. Ventura a danger
david wright,negative,#Nationals #mlb David Wright returns to the Mets Monday night. That's not necessarily a good thing. http://t.co/KAKwCBm2sw
dunkin,negative,I got an iced coffee from Dunkin donuts this morning and it literally tasted like sink water and it ruined my whole Thursday
jason aldean,positive,"Officially going to the Kenny Chesney, Jason Aldean, Brantley Gilbert, and Cole Swindal concert on Saturday!! Excited beyond words!!"
kris bryant,positive,Kris Bryant keeps the #Cubs rolling with 2 out 2 run single in the 1st! 2-0 #CUBS
niall,negative,"remember when that woman was ""giving birth"" during that prank and Niall just fucking sat there"
frank gifford,positive,"The coolest guy in the room ... Frank Gifford ... Monday night football will always be Howard Cosell, Don Meredith and Frank #RIP16"
sam smith,positive,"Friday night at last! Hi, it's Chris Best with Late Night Love. Relax with some great love songs. This hour, Sam Smith, Ronan, Gabrielle."
rousey,positive,Always fun reading about Rousey's love for Pokemon and DBZ https://t.co/zQiGmV4zwR
muslims,positive,@victoryseriesHD I will make Dua and Keep you all in my Mind. May Allah have Mercy on all Mujahidin and Muslims and destroy Kuffar AMIN!!!
jurassic world,positive,Jurassic World was excellent the only way it could have been better is if @nlyonne was Karen &amp; Claire's 3rd sister http://t.co/TmmcliThHY
murray,positive,"@tgawd____ trash OL? Theyve looked excellent so far. Trash RBs?J-Stew ran for 486 yards in the final 5 games last season, 2nd only to Murray"
islam,positive,My beautiful bestfriend converted to Islam on Laylat Al Qadr may Allah bless her &amp; set her on the right path http://t.co/D3LG1yVLSM
briana,positive,The funniest part of the break comes when Briana exceed period 9 months being pregnant https://t.co/ZFfte4v6Mg
thor,positive,"Thor is the man, this guy may have single handidly just turned this around with that first pitch"
dunkin,negative,So I was at Dunkin and this idiot messed up my order 4 times then he said he wasn't giving me my order the 5th like what the hell he stupid.
ant-man,positive,Final shows for Pixels &amp; Ant-Man are Thursday! Opening Wednesday: Shaun the Sheep &amp; Thursday: Fantastic Four!
stoops,negative,Announcer said Mine Stoops chagrined at 3rd down issues? How about pissed? OU dodged another one on Texas bad snap.
amazon prime day,positive,Amazon Prime Day is here! More deals that Black Friday! Check it out. http://t.co/XHQLLXiVq7
boko haram,negative,"Boko Haram are so evil. Even on this sacred day for all muslims, they are carrying out bombings. May the hottest part in hell be for them"
wwat,positive,"@onedirection Hi guys, Wwat in madrid 10th of july was the best day  of my life i wanna other day how this please come back to spain&lt;3"
kanye west,negative,http://t.co/qHqll6wfrH Kanye West for President? Why not? He'll be fucking crap just like the others. At least he inhales though!
mikasa,positive,"I like how Mikasa's like: ""Bitches, you may be f-ing titan shifters but I'm still at the top of our class."" #DayumBitch #SnK"
u2,positive,HBO announced they received a pair of specials from Bono and U2 that will air in a Documentary in November. Will you watch the U2 Special?
murray,positive,"Murray is outshooting St. Mary 6-4 in the 21st minute, but still no score."
national ice cream day,positive,Celebrating National Ice Cream Day with my fellow interns on this beautiful Sunday #andalsoPanera @Logs2424
seth rollins,positive,"Seth Rollins may have lost, but he broke Cena!  #RAWSanJose"
murray,positive,Anderson takes a toilet break. He's up 2 sets but doesn't really have the momentum. Murray finished 2nd set stronger.
monsanto,negative,@HillaryClinton http://t.co/q1nPNroppa is that what you want for the grandkids? #MAM march against Monsanto
gucci,positive,Gucci host she self-reliance july dangle the span thine noteworthy inflooding access in consideration of exper...
twilight,positive,"The fact that I have two exams on Sunday, and two exams on Monday, and i'm watching twilight for the twentieth time on MBC 2"
scotus,positive,"@GuyScott33 14TH AMENDMENT guarantees EQUAL PROTECTION so yeah. Oh &amp;, P.S., no, SCOTUS didn't write the law but DID correctly interpret it."
david price,positive,It's Aug. 13th and the division-leading Jays will look to David Price for their 12th straight win tomorrow. Imagine hearing that in April.
iphone,positive,"If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems."
big brother,positive,"When life gets eerie: my iTunes shuffle just started playing ""Big Brother"" by Kanye West as I finish off Sunday's centerpiece story. Timely."
erdogan,negative,@durdurulan Erdogan cannot be allowed to get away with what he is doing.He lost the June 7th election and now is seeking to undermine it all
paper towns,positive,@TVBanter: Running to the cinema to see Paper Towns tomorrow like http://t.co/U7Ivne4z40 @DanielleLucyxo
justin bieber,positive,nick jonas and justin bieber soundtracking my last day in the sun...
paper towns,positive,Co-Editors enjoying the last days of summer with Paper Towns and NativeWings!See you tomorrow @ freshmen orientation! http://t.co/XUxy0AFDNb
monsanto,negative,"About time this was banned, along with Monsanto itself! http://t.co/AgDOBpappI"
