topic,label,tweet
john cena,positive,"['accord', 'dream', 'november', 'go', 'fight', 'john', 'cena', 'wrestlemania', 'main', 'event', 'new', 'york', 'lmao']"
kyle,positive,"['kyle', 'go', 'first', 'time', 'tomorrow', 'night', 'proud', 'lol']"
big brother,positive,"['happy', 'birthday', 'big', 'brother', 'wait', 'spend', 'time', 'tomorrow']"
disney,positive,"['jam', 'disney', 'song', 'roommate', 'great', 'way', 'start', 'friday']"
kerry,negative,"['whatta', 'match', 'yesterday', 'may', 'probably', 'play', 'well', 'dublin', 'kerry', 'final']"
netflix,positive,"['watch', 'video', 'game', 'movie', 'netflix', 'start', 'video', 'game', 'system']"
justin bieber,negative,"['may', 'allow', 'speak', 'justin', 'bieber', 'unless', 'speak', 'fuck', 'waste']"
national hot dog day,positive,"['national', 'hot', 'dog', 'day', 'tomorrow', 'celebrate', 'w']"
ed sheeran,positive,"['make', 'feel', 'good', 'go', 'see', 'ed', 'sheeran', 'tomorrow']"
justin bieber,positive,"['tell', 'mom', 'go', 'florida', 'saturday', 'gonna', 'hour', 'justin', 'bieber', 'adele', 'gonna', 'deal']"
mariah carey,positive,"['believe', 'mariah', 'want', 'christmas', 'play', 'right', 'september']"
ant-man,positive,"['finally', 'go', 'watch', 'tomorrow', 'still', 'get', 'good', 'rating']"
zayn,negative,"['wtf', 'happy', 'see', 'video', 'mention', 'zayn', 'every', 'thing', 'dafuq']"
ps4,positive,"['well', 'buy', 'march']"
u2,positive,"['ticket', 'sale', 'monday', 'tough', 'ticket', 'concert', 'year']"
tony blair,negative,"['war', 'criminal', 'tony', 'blair', 'back', 'war', 'like', 'big', 'war', 'mongering', 'monster']"
floyd mayweather,positive,"['vega', 'sept', 'floyd', 'mayweather', 'undercard', 'make', 'sure']"
rahul gandhi,negative,"['send', 'rahul', 'gandhi', 'always', 'photoops', 'miss', 'chennai', 'always', 'talk', 'comunication']"
eid,positive,"['day', 'eid', 'vacation', 'wonderful', 'time', 'bit', 'rain', 'evening', 'enjoy']"
islam,negative,"['united', 'patriot', 'front', 'announce', 'rally', 'october', 'part', 'global', 'rally', 'islam']"
pride parade,positive,"['wait', 'hear', 'ldr', 'en', 'route', 'march', 'pride', 'parade', 'today']"
kpop,negative,"['take', 'death', 'tomorrow', 'kpop', 'fan', 'make', 'mad']"
hulk hogan,positive,"['probably', 'best', 'rowdy', 'roddy', 'piper', 'thing', 'ever', 'living', 'alcatraz', 'fight', 'hulk', 'hogan', 'via']"
ryan braun,positive,"['ryan', 'braun', 'lead', 'score', 'sf', 'nl', 'get', 'al', 'win']"
federer,positive,"['federer', 'defeat', 'kohlschreiber', 'go', 'round']"
snoop dogg,positive,"['seem', 'like', 'snoop', 'dogg', 'may', 'need', 'make', 'way', 'title', 'great', 'certain', 'w', 'shakespeare']"
dustin johnson,negative,"['dustin', 'johnson', 'fly', 'block', 'every', 'major', 'simply', 'cannot', 'get', 'right', 'sunday']"
harper,negative,"['go', 'easy', 'pig', 'stand', 'sight', 'harper', 'century', 'teach', 'robot', 'love']"
david price,positive,"['mean', 'david', 'price', 'may', 'pitch', 'v', 'tiger', 'home']"
netflix,positive,"['think', 'wednesday', 'day', 'lay', 'bed', 'day', 'watch', 'netflix', 'eating', 'school', 'shit']"
justin bieber,positive,"['ticket', 'concert', 'justin', 'bieber', 'book', 'dream', 'realized', 'omg', 'porpose', 'world', 'tour', 'sep', 'paris', 'belieber']"
school,negative,"['school', 'happen', 'tomorrow']"
bad blood,positive,"['last', 'day', 'best', 'tour', 'bad', 'blood', 'single', 'single', 'friday', 'life', 'rule']"
gay,positive,"['may', 'never', 'meet', 'gay', 'guy', 'may', 'change', 'tune', 'charm', 'actually', 'laugh', 'time']"
rousey,positive,"['people', 'always', 'wanna', 'next', 'mj', 'next', 'rousey', 'wanna', 'best', 'may', 'go', 'limit']"
billy cundiff,negative,"['billy', 'cundiff', 'may', 'leave', 'washington', 'hopefully', 'miss', 'door', 'way']"
tsipras,negative,"['berlin', 'say', 'merkel', 'tsipras', 'speak', 'phone', 'tuesday', 'detail', 'fishy', 'secrecy']"
messi,positive,"['messi', 'see', 'tomorrow', 'worry']"
sam smith,positive,"['jenna', 'leave', 'right', 'make', 'sam', 'smith', 'glendale', 'arizona', 'tomorrow', 'look', 'ticket', 'right', 'sister']"
dean ambrose,positive,"['honest', 'god', 'send', 'dean', 'ambrose', 'email', 'ask', 'meet']"
big brother,positive,"['look', 'forward', 'go', 'celebrity', 'big', 'brother', 'launch', 'night', 'next', 'thursday', 'hop', 'list', 'guest', 'dry', 'weather']"
jurassic world,positive,"['hi', 'show', 'time', 'jurassic', 'world', 'excite', 'aug']"
labor day,positive,"['one', 'day', 'delay', 'due', 'labor', 'day', 'area', 'normal', 'service', 'day', 'wednesday', 'service']"
paul dunne,positive,"['amaze', 'round', 'paul', 'dunne', 'fantastic', 'see', 'amateurs', 'make', 'cut', 'actually', 'well', 'tomorrow']"
red sox,positive,"['pitch', 'baseball', 'god', 'red', 'sox', 'win', 'game', 'good', 'make', 'u', 'long', 'run']"
gucci,positive,"['mobile', 'test', 'supply', 'complete', 'mr', 'h', 'v', 'happy', 'less', 'high', 'st', 'price', 'book']"
amazon prime,negative,"['amazon', 'prime', 'fuck', 'much', 'like', 'get', 'really', 'something', 'like', 'season', 'pay', 'fuck']"
erdogan,negative,"['erdogan', 'hater', 'akp', 'voter', 'place', 'especially', 'erdogan', 'party']"
dark souls,positive,"['tomorrow', 'big', 'dark', 'souls', 'race', 'start', 'sometime', 'est']"
muslims,positive,"['friday', 'significant', 'beneficial', 'day', 'week', 'day', 'muslims', 'gather', 'together', 'pray', 'congregatin']"
julie andrews,positive,"['first', 'scupad', 'meeting', 'enthusiastic', 'planner', 'take', 'place', 'schloss', 'may', 'meet', 'julie', 'andrew']"
seth rollins,positive,"['get', 'do', 'watch', 'wwe', 'monday', 'night', 'raw', 'glad', 'seth', 'rollins', 'stay', 'champion', 'randy', 'orton', 'come', 'close', 'champion']"
shawn,positive,"['honor', 'think', 'shawn', 'blessing', 'brilliant', 'day']"
bob marley,positive,"['last', 'chance', 'book', 'bob', 'marley', 'showtime', 'tomorrow', 'night', 'fizz', 'arrival', 'four', 'course', 'meal']"
monsanto,negative,"['new', 'study', 'lie']"
iran,negative,"['world', 'mark', 'international', 'human', 'right', 'day', 'thursday', 'iran', 'continue', 'execution', 'spree', 'announcement']"
yoga,positive,"['good', 'morning', 'sun', 'start', 'morning', 'routine', 'yoga', 'make', 'great', 'day']"
digi,positive,"['wait', 'tomorrow', 'get', 'meet', 'even', 'believe', 'ready', 'digi']"
saudi arabia,negative,"['saudi', 'arabia', 'lead', 'coalition', 'fight', 'terrorism', 'like', 'israeli', 'give', 'shawarma', 'palestinian']"
ted 2,positive,"['miss', 'wednesday', 'come', 'watch', 'ted', 'tonight', 'mgb', 'free']"
grateful dead,positive,"['grateful', 'dead', 'jam', 'morn', 'make', 'good', 'friday', 'vibez']"
paul mccartney,positive,"['best', 'stroke', 'concert', 'year', 'coldplay', 'paul', 'mccartney', 'rain', 'isle', 'wight', 'festival']"
foo fighters,positive,"['foo', 'fighter', 'concert', 'tuesday', 'doubt', 'even', 'back', 'might', 'see']"
joe biden,positive,"['welcome', 'veep', 'joe', 'biden', 'kick', 'visit', 'south', 'florida', 'wednesday']"
frank ocean,negative,"['frank', 'ocean', 'may', 'inconsiderate', 'artist', 'generation']"
national ice cream day,positive,"['today', 'national', 'ice', 'cream', 'day', 'next', 'sunday', 'want']"
foo fighters,positive,"['hey', 'fb', 'friend', 'mine', 'extra', 'ticket', 'foo', 'fighter', 'concert', 'tomorrow', 'night', 'pittsburgh', 'message']"
iphone,positive,"['excited', 'announcement', 'tomorrow', 'new', 'iphone', 'since', 'ready']"
janet jackson,positive,"['good', 'evening', 'planet', 'hollywood', 'happy', 'saturday', 'hi', 'may', 'ask', 'go', 'sell', 'janet', 'jackson', 'unbreakable', 'tour']"
boko haram,negative,"['remember', 'chad', 'call', 'boko', 'haram', 'school', 'boy', 'vow', 'end', 'two', 'week', 'know']"
israel,positive,"['maybe', 'one', 'day', 'islamic', 'nation', 'learn', 'leave', 'israel', 'usa', 'alone', 'write', 'august']"
tom brady,positive,"['never', 'know', 'tom', 'brady', 'come', 'back', 'around']"
conor mcgregor,positive,"['accord', 'several', 'source', 'ufc', 'look', 'jose', 'aldo', 'junior', 'conor', 'mcgregor', 'december']"
ant-man,positive,"['fair', 'enough', 'unrelated', 'think', 'may', 'go', 'see', 'tomorrow', 'interested']"
foo fighters,positive,"['wanna', 'see', 'foo', 'fighter', 'saturday', 'wrigley']"
gucci,positive,"['gucci', 'plurality', 'preconscious', 'privately', 'december', 'train', 'twin', 'guy', 'good', 'understand', 'widen', 'p']"
t-mobile,positive,"['lumia', 'xl', 'rumor', 'may', 'get', 'first', 'dibs', 'official', 'press', 'render', 'cityman']"
madonna,positive,"['beyonce', 'soon', 'beating', 'go', 'tie', 'madonna', 'vma', 'award', 'artist', 'lady', 'gaga', 'far']"
chris evans,negative,"['seriously', 'chris', 'evans', 'virtually', 'world', 'famous', 'england', 'real', 'star', 'like', 'sabine', 'may', 'save', 'show']"
red sox,positive,"['stay', 'end', 'red', 'sox', 'without', 'heart', 'palpitation']"
ed sheeran,positive,"['best', 'birthday', 'present', 'ever', 'im', 'go', 'see', 'ed', 'sheeran', 'thursday']"
moto g,positive,"['motorola', 'appear', 'get', 'right', 'yet', 'time', 'moto', 'g', 'gen']"
monsanto,negative,"['please', 'explain', 'support', 'monsanto']"
national ice cream day,positive,"['national', 'ice', 'cream', 'day', 'may', 'something']"
federer,positive,"['serena', 'punch', 'ticket', 'final', 'straight', 'set', 'join', 'djokovic', 'federer', 'single', 'final', 'decent', 'trio']"
justin,positive,"['funeral', 'tomorrow', 'pleasure', 'know', 'work', 'great', 'racer', 'rip', 'badass']"
the vamps,positive,"['hello', 'mutuals', 'go', 'vamp', 'concert', 'manila', 'jan']"
christians,positive,"['thanks', 'christian', 'give', 'u', 'hour', 'break', 'capitalism', 'yet', 'still', 'help', 'uphold', 'guess']"
harper,positive,"['big', 'spot', 'harper', 'impress', 'fan', 'leave', 'park']"
apple,positive,"['want', 'watch', 'scope', 'event', 'livestream', 'go', 'directly', 'apple', 'site']"
saudi arabia,positive,"['hi', 'ganne', 'roman', 'monday', 'kick', 'as', 'like', 'sting', 'fan', 'saudi', 'arabia']"
amazon prime day,negative,"['amazon', 'prime', 'day', 'like', 'black', 'friday', 'buy', 'bulk', 'protein', 'powder', 'software', 'black', 'friday']"
muslims,negative,"['chameleon', 'u', 'may', 'want', 'preach', 'muslims', 'seem', 'misinterpret']"
thor,negative,"['migraine', 'loud', 'blackness', 'go', 'thor', 'early', 'monday', 'morning', 'wish', 'people', 'would', 'stfu', 'loud', 'reason']"
zac brown band,positive,"['true', 'go', 'cne', 'free', 'concert', 'tix', 'go', 'zac', 'brown', 'band', 'sept']"
gay,positive,"['gay', 'sex', 'may', 'sin', 'judge', 'affect', 'u', 'let', 'god', 'judge', 'tell', 'never', 'sin']"
brock lesnar,positive,"['brock', 'lesnar', 'go', 'throw', 'every', 'single', 'person', 'roster', 'sun', 'great']"
scott walker,negative,"['scott', 'walker', 'support', 'also', 'drop', 'significantly', 'tie', 'huckabee']"
sharknado,positive,"['else', 'go', 'sing', 'sharknado', 'soundtrack', 'work', 'tomorrow']"
amazon,positive,"['thanks', 'share', 'course', 'gary', 'may', 'want', 'check', 'blogpost', 'amazon', 'ml', 'well']"
metlife,positive,"['kc', 'show', 'different', 'state', 'would', 'love', 'get', 'shoes', 'nation', 'flag', 'sign', 'birthday', 'see', 'metlife']"
watchman,positive,"['hey', 'august', 'book', 'go', 'set', 'watchman', 'harper', 'lee', 'tomorrow', 'eager', 'reader']"
kendrick lamar,positive,"['tomorrow', 'finally', 'see', 'kendrick', 'lamar', 'live', 'concert', 'think', 'im', 'go', 'cry']"
hulk hogan,positive,"['kevin', 'sullivan', 'talk', 'nwo', 'cede', 'power', 'hulk', 'hogan', 'greg', 'valentine', 'accidentally', 'knock']"
calibraska,positive,"['calibraska', 'good', 'omg', 'chart', 'proud', 'boy', 'never', 'fail', 'impress']"
justin bieber,negative,"['february', 'find', 'decline', 'time', 'secrecy', 'kind', 'wish', 'justin', 'bieber', 'could', 'feel']"
islam,positive,"['best', 'thing', 'hear', 'day', 'fact', 'islam', 'come', 'home', 'tomorrow']"
john cena,positive,"['rather', 'get', 'punch', 'face', 'john', 'cena', 'go', 'school', 'tomorrow', 'smh']"
calibraska,positive,"['may', 'may', 'scream', 'jack', 'jack', 'release', 'calibraska', 'tomorrow']"
bad blood,positive,"['bad', 'blood', 'drop', 'next', 'friday', 'hyped', 'gettysburg', 'tonight', 'come', 'hang']"
ryan braun,positive,"['ryan', 'braun', 'stay', 'hot', 'double', 'wall', 'one']"
dunkin,positive,"['want', 'dunkin', 'tomorrow', 'morning']"
sam smith,positive,"['friend', 'go', 'sam', 'smith', 'concert', 'tomorrow', 'get', 'offer', 'ticket', 'ya', 'girl', 'get', 'maddd']"
david bowie,positive,"['tomorrow', 'play', 'new', 'david', 'bowie', 'song', 'start', 'program', 'tuesday', 'afternoon', 'alternative', 'join', 'u']"
seinfeld,positive,"['seinfeld', 'may', 'one', 'best', 'show', 'time']"
harry potter,positive,"['j', 'k', 'rowling', 'write', 'final', 'chapter', 'harry', 'potter', 'book', 'year', 'book', 'even', 'release']"
kris bryant,positive,"['hey', 'guy', 'kris', 'bryant', 'hit', 'homer', 'season', 'need', 'double', 'add', 'live', 'hype']"
ed sheeran,positive,"['college', 'game', 'day', 'free', 'pizza', 'christina', 'perri', 'ed', 'sheeran', 'tonight', 'happy', 'saturday', 'lovelies']"
briana,negative,"['briana', 'may', 'pregnant', 'louis', 'isnt', 'dad', 'atleast', 'excite', 'obviously', 'see', 'ask']"
frank ocean,positive,"['frank', 'new', 'album', 'set', 'release', 'september', 'welcome']"
sam smith,positive,"['sam', 'smith', 'tomorrow', 'little', 'sister', 'sure', 'lol']"
gucci,positive,"['give', 'glocks', 'away', 'first', 'friday', 'rocket', 'season', 'toyota', 'center', 'come', 'early', 'get', 'travel', 'gucci', 'bag', 'storage']"
yakub,negative,"['agree', 'part', 'yakub', 'reason', 'best', 'logical', 'argument', 'hanging']"
tom brady,positive,"['get', 'davis', 'love', 'mean', 'sure', 'string', 'guy', 'ok', 'starter', 'tom', 'brady']"
naruto,positive,"['naruto', 'like', 'crack', 'keep', 'say', 'say', 'one', 'episode', 'oh', 'look', 'sun']"
janet jackson,positive,"['thursday', 'janet', 'jackson', 'tease', 'return', 'music', 'photo', 'shoot', 'look', 'incredibly']"
big brother,positive,"['want', 'spend', 'last', 'free', 'saturday', 'go', 'fishing', 'big', 'brother']"
kendrick,positive,"['love', 'dark', 'black', 'friday', 'kendrick', 'work', 'church']"
kendrick lamar,negative,"['shit', 'fair', 'tf', 'care', 'kendrick', 'lamar', 'black', 'friday', 'beat', 'j', 'tale', 'two', 'city']"
josh hamilton,positive,"['really', 'like', 'way', 'josh', 'hamilton', 'swing', 'bat', 'bat', 'speed', 'even', 'though', 'make', 'violent', 'swing']"
kanye west,negative,"['zombie', 'devour', 'vmas', 'mtv', 'fear', 'walk', 'dead', 'return', 'strong', 'kanye', 'west', 'may', 'suck', 'air']"
curtis,positive,"['great', 'stand', 'wolf', 'long', 'curtis', 'lineup', 'punt']"
sharknado,positive,"['hey', 'wait', 'sharknado', 'tomorrow', 'night', 'name', 'character', 'woo', 'hoo']"
gucci,positive,"['week', 'imma', 'get', 'gucci']"
serena,positive,"['ace', 'win', 'match', 'v', 'sister', 'venus']"
jurassic world,positive,"['saw', 'jurassic', 'world', 'time', 'theater', 'yes', 'worth', 'every', 'penny']"
kendrick,positive,"['laugh', 'end', 'black', 'friday']"
saudi arabia,negative,"['saudi', 'arabia', 'refuse', 'take', 'syrian', 'refugee', 'may', 'upset', 'national', 'balance', 'eu', 'leader', 'see', 'problem']"
kendrick,positive,"['think', 'weekend', 'kendrick', 'may', 'possibly', 'get', 'album', 'year']"
star wars day,positive,"['get', 'right', 'back', 'tomorrow', 'afternoon', 'host', 'iowa', 'star', 'war', 'day', 'detail']"
david price,positive,"['boom', 'another', 'strikeout', 'david', 'price', 'heading', 'btm']"
ant-man,positive,"['catch', 'film', 'tomorrow', 'watch', 'watch', 'maggie', 'southpaw']"
bbc,positive,"['bbc', 'may', 'redeem', 'gain', 'right', 'coverage', 'lose', 'rugby', 'well', 'nearly']"
ric flair,positive,"['sting', 'ric', 'flair', 'dudley', 'boyz', 'thank', 'mon', 'night', 'raw']"
apple,positive,"['new', 'apple', 'tv', 'may', 'change', 'way', 'watch', 'television', 'believe', 'star', 'big']"
dunkin,positive,"['go', 'dunkin', 'breakfast', 'w', 'rhianna', 'best', 'choice', 'make', 'monday', 'morning']"
zayn,positive,"['first', 'get', 'doniya', 'trisha', 'wait', 'zayn', 'waliyha', 'yasser', 'fly', 'as', 'thee', 'sun']"
big brother,negative,"['chris', 'christie', 'think', 'talk', 'amendment', 'hot', 'air', 'put', 'big', 'big', 'brother']"
sam smith,positive,"['still', 'believe', 'first', 'person', 'listen', 'sam', 'smith', 'bmt', 'since', 'grade']"
ps4,positive,"['love', 'remote', 'play', 'play', 'dawn', 'bed', 'upstairs', 'great', 'may', 'buy', 'another', 'vita', 'tv', 'also']"
xbox,positive,"['sat', 'play', 'xbox', 'remembers', 'make', 'lunch', 'tomorrow', 'lousy', 'adulthood', 'interfere', 'mindless', 'entertainment']"
fabian delph,negative,"['aston', 'villa', 'fear', 'fabian', 'delph', 'face', 'long', 'layoff', 'shoulder', 'injury', 'rule', 'tri']"
bernie sanders,positive,"['presidential', 'candidate', 'bernie', 'sander', 'hold', 'rally', 'sunday', 'coliseum']"
arsenal,positive,"['matter', 'play', 'matter', 'play', 'wale', 'good', 'england', 'may', 'add', 'p', 'ramsey', 'arsenal']"
murray,positive,"['come', 'murray', 'dig', 'deep', 'go', 'tire', 'work', 'tomorrow', 'stay', 'setter']"
sony,positive,"['sony', 'picture', 'last', 'monday', 'sony', 'picture', 'release', 'first', 'theatrical', 'trailer', 'concussion']"
thor,positive,"['may', 'odin', 'thor', 'frey', 'lend', 'strength', 'viking', 'ancestor', 'make', 'next', 'two', 'final']"
chris evans,positive,"['chris', 'evans', 'say', 'excactly', 'think', 'saturday', 'kitchen', 'care', 'show', 'anymore']"
red sox,positive,"['weei', 'flash', 'red', 'sox', 'beat', 'phillies', 'msg', 'data', 'rate', 'may', 'apply', 'stop']"
big brother,negative,"['may', 'bad', 'big', 'brother', 'episode', 'history']"
u2,positive,"['aug', 'uk', 'gig', 'current', 'tour', 'break', 'attendance', 'record', 'wembley', 'stadium', 'concert', 'spectator']"
rahul gandhi,negative,"['god', 'save', 'rahul', 'gandhi', 'go', 'announce', 'private', 'sector', 'reservation', 'soon']"
t-mobile,positive,"['yea', 'say', 'come', 'october']"
disneyland,positive,"['disneyland', 'birthday', 'thursday']"
carly fiorina,positive,"['carly', 'message', 'annual', 'meeting', 'support', 'amendment']"
john cena,positive,"['john', 'cena', 'body', 'slams', 'jon', 'stewart', 'like', 'amy', 'schumer', 'trainwreck', 'kinda', 'come', 'sunday', 'jon']"
david beckham,positive,"['new', 'hair', 'tomorrow', 'hopefully', 'look', 'like', 'unfortunately', 'without', 'money', 'posh', 'car', 'david', 'beckham']"
nokia,positive,"['beckham', 'kid', 'may', 'get', 'everything', 'want', 'know', 'feeling', 'play', 'snake', 'old', 'nokia', 'phone']"
ucla,negative,"['may', 'save', 'light', 'christ', 'shine', 'darkness', 'ucla', 'amen']"
ryan braun,positive,"['thanks', 'may', 'stand', 'ryan', 'braun', 'stand']"
equalizer,positive,"['kinda', 'yes', 'go', 'see', 'equalizer', 'tonite', 'like', 'interesting', 'modern', 'day', 'john', 'wayne', 'movie', 'u', 'may', 'like']"
national hot dog day,positive,"['join', 'u', 'tomorrow', 'national', 'hot', 'dog', 'day', 'season', 'lunch', 'dinner', 'hour']"
national ice cream day,positive,"['sunday', 'national', 'ice', 'cream', 'day', 'could', 'miss', 'food', 'inspiration']"
rick perry,negative,"['go', 'texas', 'oddly', 'never', 'meet', 'rick', 'perry', 'think', 'may', 'spend', 'year', 'pakistan']"
national ice cream day,positive,"['day', 'dog', 'today', 'national', 'ice', 'cream', 'day', 'make', 'mistake', 'declare', 'day', 'plus', 'free', 'cone', 'dog']"
apple,positive,"['apple', 'event', 'start', 'minute', 'get', 'chemistry', 'may', 'sprint', 'back', 'dorm', 'catch', 'time']"
janet jackson,positive,"['good', 'morning', 'janet', 'jackson', 'happy', 'saturday', 'hi', 'huge', 'fan', 'good', 'weekend', 'happy']"
star wars,positive,"['star', 'war', 'crocs', 'may', 'may', 'get', 'tonight']"
bob marley,positive,"['good', 'mate', 'bob', 'marley', 'may', 'never', 'hear']"
bernie sanders,positive,"['warren', 'buffett', 'may', 'admire', 'bernie', 'sander', 'back', 'say', 'bernie', 'win', 'hope', 'wrong']"
bentley,positive,"['pretty', 'floater', 'bentley', 'charles', 'bone', 'sun', 'stokes', 'layin', 'first', 'hoop']"
ghoncheh ghavami,negative,"['trial', 'date', 'october', 'set', 'ghoncheh', 'ghavami', 'woman', 'imprison', 'iran', 'day', 'ago', 'try', 'watch', 'volleyball']"
yakub,negative,"['yakub', 'coverage', 'outrage', 'notice', 'channel', 'various', 'journalist', 'body', 'saturday', 'express', 'shock', 'notice']"
amazon prime day,positive,"['also', 'pretty', 'much', 'deal', 'miss', 'amazon', 'prime', 'day', 'sale', 'ah', 'get', 'pay', 'friday', 'heck']"
grateful dead,positive,"['leave', 'texas', 'day', 'july', 'thank', 'god', 'invent', 'al', 'gore', 'technology', 'listen', 'replay', 'grateful', 'dead']"
katy perry,negative,"['may', 'weird', 'thing', 'ever', 'firework', 'katy', 'perry', 'yoko', 'ono', 'cover']"
gucci,positive,"['know', 'gucci', 'trend', 'topic', 'friday', 'hour', 'jackson']"
ed sheeran,positive,"['may', 'john', 'legend', 'give', 'ed', 'sheeran', 'love', 'till', 'good', 'evening']"
ryan braun,positive,"['lot', 'total', 'base', 'today', 'ryan', 'braun', 'hit', 'triple', 'inning', 'already', 'home', 'run', 'sunday']"
ios,positive,"['sure', 'start', 'publication', 'io', 'live', 'help', 'ask', 'anything', 'session', 'today', 'friday']"
frank ocean,negative,"['nigga', 'next', 'frank', 'ocean', 'shit', 'aint', 'never', 'cominn']"
thor,positive,"['jason', 'aaron', 'certainly', 'thing', 'nihilistic', 'annihilator', 'gorr', 'god', 'butcher', 'dr', 'magic', 'kill', 'empirikul']"
national hot dog day,positive,"['national', 'hot', 'dog', 'day', 'july', 'make', 'sure', 'make', 'plan', 'get', 'dog', 'ready']"
kendrick lamar,positive,"['love', 'black', 'friday', 'man', 'kendrick', 'lamar']"
justin bieber,positive,"['ok', 'trynna', 'go', 'see', 'justin', 'bieber', 'march']"
carly fiorina,positive,"['sunday', 'talk', 'show', 'rush', 'find', 'carol', 'loomis', 'number', 'rt', 'carly', 'fiorina', 'climb', 'top', 'ten']"
metlife,positive,"['look', 'forward', 'metlife', 'tomorrow', 'green', 'white', 'practice', 'scrimmage']"
floyd mayweather,positive,"['yr', 'old', 'vet', 'serafim', 'todorov', 'last', 'man', 'beat', 'floyd', 'mayweather', 'make', 'return', 'ring', 'sun', 'fight', 'card', 'bulgaria']"
jurassic park,positive,"['tear', 'watch', 'jurassic', 'park', 'time', 'age', 'remember', 'awe', 'see', 'kid', 'sorry', 'get', 'stuck', 'w', 'j', 'world']"
rousey,positive,"['wonder', 'year', 'state', 'champ', 'tour', 'together', 'get', 'see', 'first', 'rousey', 'fight', 'dec', 'keep', 'get', 'good', 'news', 'today']"
miss usa,positive,"['thank', 'miss', 'usa', 'steal', 'word', 'beauty', 'inside', 'outside', 'may', 'drop', 'dead', 'gorgeous']"
chris evans,positive,"['new', 'nbsp', 'top', 'gear', 'nbsp', 'chris', 'evans', 'debut', 'may', 'gear', 'yes', 'bbc', 'versio']"
bobby jindal,positive,"['daily', 'skimm', 'like', 'way', 'move', 'nice', 'info', 'bobby', 'jindal']"
ps4,positive,"['black', 'ops', 'iii', 'beta', 'look', 'lot', 'well', 'xbox', 'one', 'hope', 'case', 'come', 'november']"
seth rollins,negative,"['may', 'watch', 'tonight', 'already', 'tire', 'seth', 'rollins', 'retain', 'brock', 'think', 'big', 'head', 'go']"
ant-man,positive,"['great', 'go', 'see', 'imax', 'movie', 'really', 'tuesday', 'late', 'night', 'show']"
nokia,negative,"['phone', 'may', 'well', 'nokia', 'none', 'apps', 'work']"
iran,positive,"['excellent', 'free', 'program', 'sun', 'iran', 'country']"
ryan braun,positive,"['braun', 'homer', 'reds', 'stop', 'brewer', 'win', 'streak', 'ryan', 'braun', 'hit', 'home', 'run', 'season', 'cincin']"
iphone,positive,"['like', 'else', 'offer', 'honestly', 'may', 'get', 'another', 'iphone', 'use', 'o']"
bad blood,positive,"['say', 'visualization', 'come', 'true', 'tomorrow', 'night', 'bring', 'stage', 'bad', 'blood', 'guy']"
amazon prime day,negative,"['grant', 'compare', 'give', 'birth', 'kid', 'add', 'well', 'pile', 'amazon', 'prime', 'day']"
frank ocean,positive,"['sing', 'frank', 'ocean', 'top', 'lung', 'walk', 'st', 'good', 'morning']"
foo fighters,positive,"['mention', 'go', 'see', 'foo', 'fighter', 'tomorrow']"
apple watch,positive,"['world', 'difference', 'leather', 'band', 'make', 'apple', 'watch', 'h', 'point', 'direction', 'party', 'lug']"
grateful dead,positive,"['csnba', 'replay', 'grateful', 'faithful', 'grateful', 'dead', 'bob', 'weir', 'huge', 'sf', 'fan', 'happy', 'monday']"
kris bryant,positive,"['hoopla', 'around', 'others', 'sit', 'kris', 'bryant', 'man', 'crush', 'grade', 'esque']"
thor,positive,"['love', 'cover', 'inspire', 'cover', 'inspire', 'cover', 'lp']"
ted 2,positive,"['go', 'movie', 'tomorrow', 'want', 'go', 'see', 'ted', 'little', 'come', 'go', 'see', 'inside', 'instead']"
boko haram,negative,"['fool', 'still', 'believe', 'boko', 'haram', 'muslim', 'kill', 'muslim', 'christian', 'make', 'sense', 'may', 'allah', 'help', 'u']"
yoga,positive,"['forget', 'free', 'yoga', 'clarendon', 'location', 'tomorrow', 'enjoy', 'class', 'one', 'staff', 'member']"
ps4,positive,"['corvo', 'back', 'tomorrow', 'next', 'gen', 'pick', 'excellent', 'dishonor', 'xbox', 'one', 'tomorrow']"
gucci,positive,"['honestly', 'really', 'satisfied', 'class', 'except', 'gucci']"
thor,positive,"['visit', 'mariyln', 'tomorrow', 'thor', 'lunch', 'nana', 'thor']"
ant-man,positive,"['time', 'antman', 'friend', 'rogers', 'theater', 'rogers', 'mn']"
islam,negative,"['motiveless', 'attack', 'nowt', 'islam']"
yoga,positive,"['marnin', 'start', 'day', 'sun', 'salute', 'yoga', 'position', 'sound', 'like', 'cocktail', 'foam', 'roll', 'gym', 'equipment', 'sound', 'like', 'cake']"
rick perry,negative,"['rick', 'perry', 'fail', 'city', 'club', 'chicago', 'luncheon', 'today', 'turn', 'away', 'thousand', 'people', 'sun', 'time']"
tegan,positive,"['omg', 'tegan', 'sara', 'go', 'oakland', 'nov', 'must', 'go']"
shawn,positive,"['never', 'ever', 'radio', 'contest', 'shawn', 'never', 'california', 'see', 'tomorrow', 'make', 'happy']"
kerry,positive,"['trust', 'say', 'alone', 'kerry', 'mile', 'half', 'marathon', 'felt', 'bad', 'mile', 'full']"
ric flair,positive,"['ok', 'probably', 'watch', 'one', 'remember', 'ric', 'flair', 'love', 'monday', 'night', 'war']"
american horror story,positive,"['obsession', 'american', 'horror', 'story', 'real', 'may', 'love', 'tate']"
